Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
COL14A1		1	1	15	6.7%	No
ZNF891		1	1	15	6.7%	No
CHD1L		1	1	15	6.7%	No
KDM6B		1	1	15	6.7%	No
QPCT		1	1	15	6.7%	No
GRM1		1	1	15	6.7%	No
CIZ1		1	1	15	6.7%	No
OR52J3		1	1	15	6.7%	No
LELP1		1	1	15	6.7%	No
C16ORF91		1	1	15	6.7%	No
GRM8		1	1	15	6.7%	No
C15ORF39		1	1	15	6.7%	No
LRRCC1		1	1	15	6.7%	No
ACTB		1	1	15	6.7%	Yes
KNDC1		1	1	15	6.7%	No
NKX1-1		1	1	15	6.7%	No
OTUD4		1	1	15	6.7%	No
OR5B3		2	1	15	6.7%	No
GTF2IRD1		1	1	15	6.7%	No
DDX58		1	1	15	6.7%	No
RNPEP		1	1	15	6.7%	No
CXCL3		1	1	15	6.7%	No
LMNTD2		1	1	15	6.7%	No
KAT8		1	1	15	6.7%	No
SMUG1		1	1	15	6.7%	No
UBE4B		1	1	15	6.7%	No
POLR3A		1	1	15	6.7%	No
KIF3A		1	1	15	6.7%	No
MPHOSPH8		1	1	15	6.7%	No
USP1		1	1	15	6.7%	No
USH2A		2	2	15	13.3%	No
ORC3		1	1	15	6.7%	No
CUL9		2	2	15	13.3%	No
PATZ1		1	1	15	6.7%	Yes
GSK3A		1	1	15	6.7%	No
AK9		1	1	15	6.7%	No
NIPAL4		1	1	15	6.7%	No
LILRB2		1	1	15	6.7%	No
CCDC180		1	1	15	6.7%	No
DGKA		2	2	15	13.3%	No
TANC1		1	1	15	6.7%	No
SLC7A9		1	1	15	6.7%	No
GSN		1	1	15	6.7%	No
TBC1D8		1	1	15	6.7%	No
ZNF518B		3	3	15	20.0%	No
ACTN2		1	1	15	6.7%	No
USP8		1	1	15	6.7%	Yes
SNRNP48		1	1	15	6.7%	No
PIF1		1	1	15	6.7%	No
SMC1B		1	1	15	6.7%	No
FBXO4		1	1	15	6.7%	No
VCPIP1		1	1	15	6.7%	No
DAPK1		1	1	15	6.7%	No
ANKRD24		1	1	15	6.7%	No
MAP3K19		1	1	15	6.7%	No
ZNF721		1	1	15	6.7%	No
PARVB		1	1	15	6.7%	No
VPS33B		1	1	15	6.7%	No
SACS		1	1	15	6.7%	No
CYP2S1		1	1	15	6.7%	No
DKK2		1	1	15	6.7%	Yes
ZNF543		1	1	15	6.7%	No
MTA1		1	1	15	6.7%	No
SYCE1		1	1	15	6.7%	No
KLHL40		1	1	15	6.7%	No
MTMR4		1	1	15	6.7%	No
INVS		1	1	15	6.7%	No
SIAH3		1	1	15	6.7%	No
KIF5C		1	1	15	6.7%	No
KIFC3		1	1	15	6.7%	No
IL1RAPL2		1	1	15	6.7%	No
TKTL1		1	1	15	6.7%	No
DSEL		1	1	15	6.7%	No
ROBO1		2	2	15	13.3%	Yes
FBXW8		1	1	15	6.7%	No
GDPD3		1	1	15	6.7%	No
ROCK1		1	1	15	6.7%	No
DZANK1		1	1	15	6.7%	No
GTF2H1		1	1	15	6.7%	No
PLEKHF1		2	2	15	13.3%	No
FRAS1		1	1	15	6.7%	No
GNPTAB		1	1	15	6.7%	No
SHPRH		1	1	15	6.7%	No
EIF2AK1		1	1	15	6.7%	No
DCC		1	1	15	6.7%	No
RRP9		1	1	15	6.7%	No
PDE7B		1	1	15	6.7%	No
CCDC170		2	2	15	13.3%	No
AGXT2		1	1	15	6.7%	No
GTF3C1		1	1	15	6.7%	No
OR2G3		1	1	15	6.7%	No
SELENOO		1	1	15	6.7%	No
BRF1		1	1	15	6.7%	No
ZSCAN5A		1	1	15	6.7%	No
NALF2		1	1	15	6.7%	No
HGS		1	1	15	6.7%	No
FHAD1		1	1	15	6.7%	No
DYSF		1	1	15	6.7%	No
TRRAP		2	2	15	13.3%	Yes
ZNF343		1	1	15	6.7%	No
PNMA5		1	1	15	6.7%	No
MAGEB6		1	1	15	6.7%	No
TIAM2		1	1	15	6.7%	No
GARIN5B		1	1	15	6.7%	No
PTDSS2		1	1	15	6.7%	No
PIGT		1	1	15	6.7%	No
SORCS1		2	2	15	13.3%	No
SIK1		1	1	15	6.7%	No
POTEE		1	1	15	6.7%	No
MCM8		1	1	15	6.7%	No
GYS2		1	1	15	6.7%	No
KRT1		2	2	15	13.3%	No
KRT2		1	1	15	6.7%	No
BCL11B		2	2	15	13.3%	Yes
FTL		1	1	15	6.7%	No
DDX10		1	1	15	6.7%	Yes
SCAF11		2	2	15	13.3%	No
IRX3		1	1	15	6.7%	No
KANK1		1	1	15	6.7%	No
COLEC12		1	1	15	6.7%	No
PHLDB1		1	1	15	6.7%	No
ISM2		1	1	15	6.7%	No
C14ORF180		1	1	15	6.7%	No
KRT6A		1	1	15	6.7%	No
NEB		1	1	15	6.7%	No
CRISPLD1		1	1	15	6.7%	No
GSE1		1	1	15	6.7%	No
SLC38A9		1	1	15	6.7%	No
MAGI3		1	1	15	6.7%	No
STAP1		1	1	15	6.7%	No
CYFIP1		1	1	15	6.7%	No
FBXL7		1	1	15	6.7%	No
FYB1		1	1	15	6.7%	No
MDN1		3	3	15	20.0%	No
OTUD6B		1	1	15	6.7%	No
G6PD		2	2	15	13.3%	No
TRAPPC8		2	2	15	13.3%	No
MTHFD1L		1	1	15	6.7%	No
FREM1		1	1	15	6.7%	No
WNK1		1	1	15	6.7%	No
TRIM8		1	1	15	6.7%	No
IFFO1		1	1	15	6.7%	No
KRT20		1	1	15	6.7%	No
ANP32E		3	3	15	20.0%	No
ITPRID1		1	1	15	6.7%	No
CMA1		1	1	15	6.7%	No
TBL1X		1	1	15	6.7%	No
ZFHX4		2	2	15	13.3%	No
ZNF875		1	1	15	6.7%	No
MTUS1		1	1	15	6.7%	No
MALT1		1	1	15	6.7%	Yes
CLSTN1		1	1	15	6.7%	No
KCNK12		2	2	15	13.3%	No
GABRA6		2	2	15	13.3%	Yes
TUBGCP3		1	1	15	6.7%	No
H3-5		1	1	15	6.7%	Yes
XPO5		1	1	15	6.7%	No
ARHGEF28		1	1	15	6.7%	Yes
CALM3		1	1	15	6.7%	No
CCDC66		1	1	15	6.7%	No
PHLDB2		1	1	15	6.7%	No
D2HGDH		1	1	15	6.7%	No
NEURL1B		2	2	15	13.3%	No
HEATR5B		1	1	15	6.7%	No
STRBP		1	1	15	6.7%	No
ZNF408		1	1	15	6.7%	No
PCDH19		1	1	15	6.7%	No
COL18A1		1	1	15	6.7%	No
ZNF418		2	2	15	13.3%	No
CCR4		1	1	15	6.7%	No
TCP11L1		1	1	15	6.7%	No
BRWD1		1	1	15	6.7%	No
SMOX		1	1	15	6.7%	No
NRIP3		1	1	15	6.7%	No
SRGAP1		1	1	15	6.7%	No
NWD1		1	1	15	6.7%	No
L1CAM		1	1	15	6.7%	No
NEFH		2	2	15	13.3%	No
AFF3		1	1	15	6.7%	Yes
KCTD16		1	1	15	6.7%	No
CAMK2G		1	1	15	6.7%	No
SBK3		1	1	15	6.7%	No
CAMLG		1	1	15	6.7%	No
CYP4F12		1	1	15	6.7%	No
SP110		1	1	15	6.7%	No
AMDHD1		1	1	15	6.7%	No
NIPA2		1	1	15	6.7%	No
SLITRK3		1	1	15	6.7%	No
CPQ		1	1	15	6.7%	No
GPR83		1	1	15	6.7%	No
MIB1		1	1	15	6.7%	Yes
WDR81		1	1	15	6.7%	No
CGN		1	1	15	6.7%	No
HACE1		1	1	15	6.7%	No
NUFIP2		1	1	15	6.7%	No
PPM1N		1	1	15	6.7%	No
NEO1		1	1	15	6.7%	No
TCF7L2		1	1	15	6.7%	Yes
GPR151		1	1	15	6.7%	No
PIAS3		1	1	15	6.7%	No
NF2		1	1	15	6.7%	Yes
NFATC1		1	1	15	6.7%	No
TCP1		1	1	15	6.7%	No
MTFMT		1	1	15	6.7%	No
CNGA4		1	1	15	6.7%	No
IFNE		2	1	15	6.7%	No
CSMD3		2	2	15	13.3%	No
TEKT2		1	1	15	6.7%	No
PRM1		1	1	15	6.7%	No
GALNT1		1	1	15	6.7%	No
SBK1		1	1	15	6.7%	No
ZNF398		1	1	15	6.7%	No
IFIT2		1	1	15	6.7%	No
TMEM132B		1	1	15	6.7%	No
NF1		1	1	15	6.7%	Yes
ARMCX4		1	1	15	6.7%	No
PRKX		1	1	15	6.7%	No
CASP4		1	1	15	6.7%	No
IQCF1		1	1	15	6.7%	No
CLPSL1		1	1	15	6.7%	No
NFE2L2		1	1	15	6.7%	Yes
SMIM12		1	1	15	6.7%	No
CNTN1		2	2	15	13.3%	No
TAOK1		1	1	15	6.7%	No
ETV2		2	1	15	6.7%	No
PKD1L2		1	1	15	6.7%	No
CASP8		3	3	15	20.0%	Yes
USP19		1	1	15	6.7%	No
DNAH14		1	1	15	6.7%	No
ETS1		1	1	15	6.7%	Yes
HECTD2		1	1	15	6.7%	No
CSMD2		1	1	15	6.7%	No
HRNR		1	1	15	6.7%	No
LRP8		1	1	15	6.7%	No
CCDC57		1	1	15	6.7%	No
CMIP		1	1	15	6.7%	No
R3HCC1L		1	1	15	6.7%	No
WDR27		1	1	15	6.7%	No
EXT2		1	1	15	6.7%	Yes
IFT80		1	1	15	6.7%	No
COL4A1		1	1	15	6.7%	No
EFCAB11		1	1	15	6.7%	No
GLIS1		1	1	15	6.7%	No
SYT16		1	1	15	6.7%	No
COL1A2		1	1	15	6.7%	No
COL1A1		1	1	15	6.7%	Yes
YBEY		1	1	15	6.7%	No
MLLT6		1	1	15	6.7%	Yes
TRPM1		1	1	15	6.7%	No
CDON		1	1	15	6.7%	No
MMP13		1	1	15	6.7%	No
COL9A1		2	1	15	6.7%	No
COL7A1		1	1	15	6.7%	No
LRRC74B		1	1	15	6.7%	No
COL6A2		1	1	15	6.7%	No
COL6A1		2	2	15	13.3%	No
RASA3		1	1	15	6.7%	No
UNC79		1	1	15	6.7%	No
USP26		1	1	15	6.7%	No
EYA1		1	1	15	6.7%	No
RUNX1T1		1	1	15	6.7%	Yes
KRT24		1	1	15	6.7%	No
COL5A1		1	1	15	6.7%	No
SRCAP		1	1	15	6.7%	No
PCDH10		2	2	15	13.3%	No
TONSL		1	1	15	6.7%	No
DAB2IP		1	1	15	6.7%	No
FOXP3		1	1	15	6.7%	No
RELN		1	1	15	6.7%	Yes
SASH1		1	1	15	6.7%	No
BTBD10		1	1	15	6.7%	No
ALMS1		3	3	15	20.0%	No
SLC1A5		1	1	15	6.7%	No
NGDN		1	1	15	6.7%	No
IGFBP2		1	1	15	6.7%	No
F5		3	3	15	20.0%	No
SLC35E4		1	1	15	6.7%	No
SH2B3		1	1	15	6.7%	Yes
BCL2L11		1	1	15	6.7%	Yes
CHST15		1	1	15	6.7%	No
IQCC		1	1	15	6.7%	No
DNAH1		1	1	15	6.7%	No
UBR5		2	2	15	13.3%	Yes
COL9A2		1	1	15	6.7%	No
SKP2		1	1	15	6.7%	No
MMP15		1	1	15	6.7%	No
ADCK2		1	1	15	6.7%	No
SLA		1	1	15	6.7%	No
PXDN		1	1	15	6.7%	No
CAVIN4		2	2	15	13.3%	No
CFAP57		1	1	15	6.7%	No
IRF2BPL		1	1	15	6.7%	No
SZT2		1	1	15	6.7%	No
NLRP14		2	2	15	13.3%	No
JADE2		1	1	15	6.7%	No
ATRAID		1	1	15	6.7%	No
F8		1	1	15	6.7%	No
RETSAT		1	1	15	6.7%	No
TDO2		1	1	15	6.7%	No
FRAT1		1	1	15	6.7%	No
ZFP64		1	1	15	6.7%	No
DNAJC30		1	1	15	6.7%	No
GSX1		1	1	15	6.7%	No
MED16		1	1	15	6.7%	No
NAXD		1	1	15	6.7%	No
NOA1		1	1	15	6.7%	No
MPL		1	1	15	6.7%	Yes
FANCA		1	1	15	6.7%	Yes
VIRMA		1	1	15	6.7%	No
MOB3A		1	1	15	6.7%	No
WNT16		1	1	15	6.7%	No
NLGN3		3	3	15	20.0%	No
CASZ1		2	1	15	6.7%	No
VGLL3		1	1	15	6.7%	No
CCNF		1	1	15	6.7%	No
ARSF		1	1	15	6.7%	No
B4GALT2		1	1	15	6.7%	No
SCG2		1	1	15	6.7%	No
TADA3		1	1	15	6.7%	No
CCAR1		1	1	15	6.7%	No
OR8U1		1	1	15	6.7%	No
ACSL1		1	1	15	6.7%	No
DHRS7B		1	1	15	6.7%	No
ROBO3		1	1	15	6.7%	No
PSMB6		1	1	15	6.7%	No
PSMB7		1	1	15	6.7%	No
OR4C6		2	2	15	13.3%	No
OR4S2		1	1	15	6.7%	No
NCAPD3		1	1	15	6.7%	No
SATB2		1	1	15	6.7%	No
ASAH1		1	1	15	6.7%	No
NOL4		1	1	15	6.7%	No
TUSC2		1	1	15	6.7%	No
FLRT2		1	1	15	6.7%	No
OR5AS1		2	2	15	13.3%	No
KBTBD2		1	1	15	6.7%	No
KIF24		1	1	15	6.7%	No
UTRN		1	1	15	6.7%	No
FAT2		6	4	15	26.7%	No
ESX1		1	1	15	6.7%	No
FAT1		4	3	15	20.0%	Yes
SIN3A		2	2	15	13.3%	No
NECTIN3		1	1	15	6.7%	No
TTC17		1	1	15	6.7%	No
SSH1		2	2	15	13.3%	No
IFT122		1	1	15	6.7%	No
HAS1		1	1	15	6.7%	No
VAV3		1	1	15	6.7%	No
RBM27		1	1	15	6.7%	No
SLC8A3		1	1	15	6.7%	No
SLC9A2		1	1	15	6.7%	No
TAB1		1	1	15	6.7%	No
CTNNAL1		1	1	15	6.7%	No
HAX1		1	1	15	6.7%	No
AKNA		1	1	15	6.7%	No
RPUSD3		1	1	15	6.7%	No
RWDD3		1	1	15	6.7%	No
HCFC1		1	1	15	6.7%	No
TBC1D23		1	1	15	6.7%	No
FKBP8		1	1	15	6.7%	No
SLC12A1		1	1	15	6.7%	No
MERTK		1	1	15	6.7%	Yes
THAP9		1	1	15	6.7%	No
SLC12A3		3	3	15	20.0%	No
CFAP44		1	1	15	6.7%	No
SLC30A9		1	1	15	6.7%	No
CD300A		1	1	15	6.7%	No
ZNF521		1	1	15	6.7%	Yes
ABCB1		1	1	15	6.7%	No
GEMIN5		1	1	15	6.7%	No
VEGFC		1	1	15	6.7%	No
VEGFB		1	1	15	6.7%	No
PITPNM1		2	1	15	6.7%	No
HDAC1		2	2	15	13.3%	Yes
HTT		2	2	15	13.3%	No
NPAP1		2	2	15	13.3%	No
CEP164		1	1	15	6.7%	No
SNIP1		1	1	15	6.7%	No
TAF7L		1	1	15	6.7%	No
ZNF750		1	1	15	6.7%	Yes
ASB13		1	1	15	6.7%	No
ATAD2B		2	2	15	13.3%	No
PGM1		1	1	15	6.7%	No
ADAM21		2	2	15	13.3%	No
SLC34A1		1	1	15	6.7%	No
ADAM18		2	2	15	13.3%	No
TPRG1		1	1	15	6.7%	No
PHF2		1	1	15	6.7%	No
SLIT3		1	1	15	6.7%	No
NCOR2		1	1	15	6.7%	Yes
RP1		1	1	15	6.7%	No
OR5D13		1	1	15	6.7%	No
PHKA2		1	1	15	6.7%	No
RPGR		1	1	15	6.7%	No
LRIF1		1	1	15	6.7%	No
TTYH3		1	1	15	6.7%	No
ZFHX3		3	3	15	20.0%	Yes
FBXW5		1	1	15	6.7%	No
SLC29A3		1	1	15	6.7%	No
THSD7B		1	1	15	6.7%	No
SLCO1A2		1	1	15	6.7%	No
DUOXA1		1	1	15	6.7%	No
DIPK1B		1	1	15	6.7%	No
RAB36		1	1	15	6.7%	No
CELSR1		1	1	15	6.7%	No
SMARCA2		1	1	15	6.7%	Yes
TRPV1		1	1	15	6.7%	No
SMARCA4		1	1	15	6.7%	Yes
MPDZ		1	1	15	6.7%	No
TBC1D32		1	1	15	6.7%	No
ATIC		1	1	15	6.7%	Yes
NRG1		3	3	15	20.0%	Yes
HGFAC		1	1	15	6.7%	No
PHKG1		1	1	15	6.7%	No
RERE		1	1	15	6.7%	No
MTUS2		1	1	15	6.7%	No
CNTN5		1	1	15	6.7%	No
ABCG1		1	1	15	6.7%	No
OR52E4		1	1	15	6.7%	No
HIP1		1	1	15	6.7%	Yes
PANX1		1	1	15	6.7%	No
PRPF6		1	1	15	6.7%	No
OR5AR1		1	1	15	6.7%	No
RESP18		1	1	15	6.7%	No
SERPINB8		1	1	15	6.7%	No
NAA80		2	2	15	13.3%	No
KDM2B		1	1	15	6.7%	Yes
CFAP65		1	1	15	6.7%	No
PGPEP1L		1	1	15	6.7%	No
C2CD6		1	1	15	6.7%	No
AHI1		1	1	15	6.7%	No
HUNK		1	1	15	6.7%	No
ACOX3		1	1	15	6.7%	No
SCN11A		1	1	15	6.7%	No
MUC16		3	2	15	13.3%	No
WFS1		1	1	15	6.7%	No
BAP1		1	1	15	6.7%	Yes
PIK3C2G		1	1	15	6.7%	Yes
MORF4L2		1	1	15	6.7%	No
B4GALT7		1	1	15	6.7%	No
DENND2C		1	1	15	6.7%	No
GPR179		1	1	15	6.7%	No
CCDC22		1	1	15	6.7%	No
KNL1		2	1	15	6.7%	Yes
REPIN1		1	1	15	6.7%	No
ATP4A		1	1	15	6.7%	No
RNF169		1	1	15	6.7%	No
HIVEP3		1	1	15	6.7%	No
ZNF280D		1	1	15	6.7%	No
NEK10		1	1	15	6.7%	No
QPCTL		1	1	15	6.7%	No
EOMES		2	2	15	13.3%	No
RPL23A		1	1	15	6.7%	No
CLUH		1	1	15	6.7%	No
PIK3CA		2	2	15	13.3%	Yes
PRDM6		1	1	15	6.7%	No
ZMYND12		1	1	15	6.7%	No
CAMSAP2		1	1	15	6.7%	No
TLR8		1	1	15	6.7%	No
ZNF541		1	1	15	6.7%	No
RAB44		1	1	15	6.7%	No
PPM1F		1	1	15	6.7%	No
LOXL3		3	2	15	13.3%	No
BCAS3		1	1	15	6.7%	No
H2AC17		1	1	15	6.7%	Yes
KATNIP		2	2	15	13.3%	No
WNT2B		1	1	15	6.7%	No
TMEM131L		1	1	15	6.7%	No
ZDHHC18		1	1	15	6.7%	No
PDE4DIP		1	1	15	6.7%	Yes
VPS13C		1	1	15	6.7%	No
C9ORF57		1	1	15	6.7%	No
XDH		1	1	15	6.7%	No
MTCL1		1	1	15	6.7%	No
DDHD2		2	2	15	13.3%	No
AASDH		1	1	15	6.7%	No
C18ORF63		1	1	15	6.7%	No
ATP11A		1	1	15	6.7%	No
HAVCR1		1	1	15	6.7%	No
ANKRD12		1	1	15	6.7%	No
SMARCAL1		1	1	15	6.7%	No
TECTA		1	1	15	6.7%	No
ESRP1		1	1	15	6.7%	No
SIDT1		2	2	15	13.3%	No
TBC1D10C		1	1	15	6.7%	No
HACD1		2	2	15	13.3%	No
NR2F2		1	1	15	6.7%	No
NOD1		1	1	15	6.7%	Yes
ZSCAN18		1	1	15	6.7%	No
BMT2		2	2	15	13.3%	No
DLK2		1	1	15	6.7%	No
SYNE2		3	2	15	13.3%	No
NUP210		1	1	15	6.7%	No
KDM4A		1	1	15	6.7%	No
SLC10A4		1	1	15	6.7%	No
ATP8A1		1	1	15	6.7%	No
NME9		1	1	15	6.7%	No
C9ORF64		2	2	15	13.3%	No
DGUOK		1	1	15	6.7%	No
SERINC2		1	1	15	6.7%	No
AURKB		1	1	15	6.7%	Yes
HSD11B1L		1	1	15	6.7%	No
XPR1		1	1	15	6.7%	No
TFR2		1	1	15	6.7%	No
TG		2	2	15	13.3%	No
SIK2		1	1	15	6.7%	No
PHLPP1		1	1	15	6.7%	No
VPS13A		2	2	15	13.3%	No
LAMA3		1	1	15	6.7%	No
TMEM104		1	1	15	6.7%	No
MAN1B1		1	1	15	6.7%	No
TENM3		1	1	15	6.7%	No
DIAPH1		1	1	15	6.7%	No
FLYWCH1		1	1	15	6.7%	Yes
SLF2		1	1	15	6.7%	No
SGIP1		1	1	15	6.7%	No
RPS6KB2		1	1	15	6.7%	Yes
DLGAP2		1	1	15	6.7%	No
TGFBR3		1	1	15	6.7%	No
TMEM140		1	1	15	6.7%	No
ISY1		1	1	15	6.7%	No
ATXN7L1		1	1	15	6.7%	No
GFOD2		1	1	15	6.7%	No
PCDHB2		1	1	15	6.7%	No
NUDT19		1	1	15	6.7%	No
SCAF4		3	3	15	20.0%	No
PCDHA13		3	2	15	13.3%	No
MRPL44		1	1	15	6.7%	No
VAPA		1	1	15	6.7%	No
NOL6		1	1	15	6.7%	No
LAMA5		3	3	15	20.0%	No
TH		1	1	15	6.7%	No
ITGA11		1	1	15	6.7%	No
PCDHA8		1	1	15	6.7%	No
FRS2		1	1	15	6.7%	Yes
RAB11B		1	1	15	6.7%	No
TBC1D19		2	2	15	13.3%	No
FBXW7		2	2	15	13.3%	Yes
TMEM169		1	1	15	6.7%	No
PRR12		1	1	15	6.7%	No
PCDH17		1	1	15	6.7%	No
ACTL8		1	1	15	6.7%	No
L3MBTL2		1	1	15	6.7%	No
TFAP2D		1	1	15	6.7%	No
PLA2G4F		1	1	15	6.7%	No
PCDHA1		2	2	15	13.3%	No
CDCP2		1	1	15	6.7%	No
TCHH		2	1	15	6.7%	No
RCSD1		1	1	15	6.7%	No
OR4L1		1	1	15	6.7%	No
HIPK1		1	1	15	6.7%	No
ZNF469		1	1	15	6.7%	No
LCT		1	1	15	6.7%	No
ZNF430		1	1	15	6.7%	No
KRBA1		2	2	15	13.3%	No
LBR		1	1	15	6.7%	No
CACNA2D2		1	1	15	6.7%	No
AIMP1		1	1	15	6.7%	No
DNAH9		1	1	15	6.7%	No
TDRD1		1	1	15	6.7%	No
NUMBL		2	2	15	13.3%	No
TIE1		1	1	15	6.7%	No
DNAH5		1	1	15	6.7%	No
SEC24A		1	1	15	6.7%	No
CEP63		1	1	15	6.7%	No
RBM15B		1	1	15	6.7%	No
SDCCAG8		1	1	15	6.7%	No
CPSF1		1	1	15	6.7%	No
TLE1		1	1	15	6.7%	Yes
PLEKHG4B		1	1	15	6.7%	No
STK17B		1	1	15	6.7%	No
ANKH		1	1	15	6.7%	No
DYNC1H1		1	1	15	6.7%	No
CELF6		1	1	15	6.7%	No
CCDC50		1	1	15	6.7%	No
NFYA		1	1	15	6.7%	No
TLR4		1	1	15	6.7%	No
TRMT10A		1	1	15	6.7%	No
PIK3R4		1	1	15	6.7%	No
KCNG4		1	1	15	6.7%	No
CFAP206		1	1	15	6.7%	No
TLE4		1	1	15	6.7%	Yes
NAPRT		1	1	15	6.7%	No
TLN1		1	1	15	6.7%	No
MUC5B		1	1	15	6.7%	No
DNMT1		1	1	15	6.7%	Yes
COL11A1		1	1	15	6.7%	No
GBE1		1	1	15	6.7%	No
SLC9C2		2	2	15	13.3%	No
KISS1R		1	1	15	6.7%	No
C15ORF32		1	1	15	6.7%	No
AGRN		2	2	15	13.3%	No
NHS		1	1	15	6.7%	No
NID1		1	1	15	6.7%	No
SCUBE1		1	1	15	6.7%	No
ZNF257		1	1	15	6.7%	No
TOPAZ1		1	1	15	6.7%	No
DIPK1A		1	1	15	6.7%	No
GCKR		1	1	15	6.7%	No
FAM126A		1	1	15	6.7%	No
MYPN		1	1	15	6.7%	No
CFAP54		1	1	15	6.7%	No
DOCK3		1	1	15	6.7%	No
DOCK2		1	1	15	6.7%	No
RETNLB		1	1	15	6.7%	No
CCDC62		1	1	15	6.7%	No
PKD1L1		1	1	15	6.7%	No
LCTL		1	1	15	6.7%	No
GDF9		1	1	15	6.7%	No
GPR52		1	1	15	6.7%	No
TAB3		1	1	15	6.7%	No
NNMT		1	1	15	6.7%	No
GDF1		1	1	15	6.7%	No
FAT3		1	1	15	6.7%	No
CNBD1		1	1	15	6.7%	No
RTEL1		1	1	15	6.7%	Yes
CDK12		2	2	15	13.3%	Yes
COX6B1		1	1	15	6.7%	No
MLXIPL		1	1	15	6.7%	No
ADAM32		2	2	15	13.3%	No
GGNBP2		1	1	15	6.7%	No
HTRA4		1	1	15	6.7%	No
LRFN3		1	1	15	6.7%	No
OR5P3		2	2	15	13.3%	No
NOS1		1	1	15	6.7%	No
ANKRD44		1	1	15	6.7%	No
CSGALNACT2		3	2	15	13.3%	No
KNOP1		1	1	15	6.7%	No
PSMD2		1	1	15	6.7%	No
TM9SF1		1	1	15	6.7%	No
ARHGAP23		1	1	15	6.7%	No
PLBD1		1	1	15	6.7%	No
LRCH2		1	1	15	6.7%	No
NOTCH1		5	2	15	13.3%	Yes
CD6		1	1	15	6.7%	No
AGBL3		1	1	15	6.7%	No
DENND5B		1	1	15	6.7%	No
PSMC4		1	1	15	6.7%	No
CPLANE1		1	1	15	6.7%	No
PAXIP1		1	1	15	6.7%	No
PYCR3		1	1	15	6.7%	No
TPX2		1	1	15	6.7%	No
MYBBP1A		1	1	15	6.7%	No
STK40		1	1	15	6.7%	Yes
FBLN5		1	1	15	6.7%	No
FBN2		1	1	15	6.7%	No
COL20A1		1	1	15	6.7%	No
FBN1		2	2	15	13.3%	No
SF3B2		1	1	15	6.7%	No
SEMA3C		1	1	15	6.7%	No
CCDC9		1	1	15	6.7%	No
OR6Q1		1	1	15	6.7%	No
CPT1A		1	1	15	6.7%	No
CPS1		1	1	15	6.7%	Yes
MAST1		1	1	15	6.7%	No
GJA1		1	1	15	6.7%	No
B4GALNT2		1	1	15	6.7%	No
UVSSA		1	1	15	6.7%	No
CYP4A22		1	1	15	6.7%	No
SCAF1		1	1	15	6.7%	No
FCN1		1	1	15	6.7%	No
KMT2C		4	3	15	20.0%	Yes
DCANP1		2	2	15	13.3%	No
CDCA2		1	1	15	6.7%	No
FBRSL1		1	1	15	6.7%	No
CLP1		1	1	15	6.7%	Yes
TTC22		1	1	15	6.7%	No
SELENOK		1	1	15	6.7%	No
IL1RAP		1	1	15	6.7%	No
CAMSAP3		1	1	15	6.7%	No
PAQR7		1	1	15	6.7%	No
PTGER1		1	1	15	6.7%	No
CKAP4		2	2	15	13.3%	No
HERC6		1	1	15	6.7%	No
ASCC3		1	1	15	6.7%	No
GRID2IP		1	1	15	6.7%	No
FER		1	1	15	6.7%	No
CRHBP		1	1	15	6.7%	No
CD47		1	1	15	6.7%	No
IL4R		1	1	15	6.7%	No
RNF213		2	1	15	6.7%	Yes
CREBBP		3	3	15	20.0%	Yes
SPDYE4		1	1	15	6.7%	No
PEAR1		1	1	15	6.7%	No
GCN1		1	1	15	6.7%	No
DNAJC21		2	2	15	13.3%	No
CAVIN3		1	1	15	6.7%	No
MIA3		1	1	15	6.7%	No
SMPD1		1	1	15	6.7%	No
ATP10D		1	1	15	6.7%	No
PHIP		1	1	15	6.7%	No
GABPB2		1	1	15	6.7%	No
CD72		1	1	15	6.7%	No
RAB11FIP5		1	1	15	6.7%	No
PNRC1		1	1	15	6.7%	Yes
CACHD1		2	2	15	13.3%	No
GIGYF2		1	1	15	6.7%	No
ZNF445		1	1	15	6.7%	No
RNF170		1	1	15	6.7%	No
SLITRK5		1	1	15	6.7%	No
MSI1		2	2	15	13.3%	Yes
MS4A15		1	1	15	6.7%	No
OOSP2		2	2	15	13.3%	No
IL12RB1		2	1	15	6.7%	No
MFSD9		1	1	15	6.7%	No
TNRC6C		1	1	15	6.7%	No
PLCD4		1	1	15	6.7%	No
HLA-B		1	1	15	6.7%	Yes
CCDC88C		1	1	15	6.7%	No
FANCM		1	1	15	6.7%	No
ATP5F1B		1	1	15	6.7%	No
MSH3		1	1	15	6.7%	Yes
PTPN11		1	1	15	6.7%	Yes
PTPN12		1	1	15	6.7%	No
PTPN14		2	2	15	13.3%	No
RNF145		1	1	15	6.7%	No
SLC44A1		1	1	15	6.7%	No
NLRP5		1	1	15	6.7%	No
PCDH18		2	2	15	13.3%	No
NLRP13		1	1	15	6.7%	No
GJB4		1	1	15	6.7%	No
TLE6		1	1	15	6.7%	No
DNAI4		1	1	15	6.7%	No
NPAS4		1	1	15	6.7%	No
PTPRK		1	1	15	6.7%	Yes
RGSL1		1	1	15	6.7%	No
SPOUT1		1	1	15	6.7%	No
SF3B3		1	1	15	6.7%	No
TEX2		1	1	15	6.7%	No
